epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7734,1.67183,4.16044,1.66269,0.00443,0.32386,0.02233,0.00608,1.41449,4.06534,1.52964,0.0001,0.0001,0.0001
2,103.319,1.40187,3.39783,1.36492,0.01044,0.68271,0.16345,0.08514,1.33397,3.67575,1.25363,0.000208293,0.000208293,0.000208293
3,153.674,1.4134,2.41708,1.26771,0.67317,0.18815,0.34257,0.18721,1.29475,3.255,1.20707,0.00031213,0.00031213,0.00031213
4,203.717,1.42254,2.06358,1.25788,0.78302,0.0838,0.3603,0.20835,1.28906,3.05755,1.21238,0.000411512,0.000411512,0.000411512
5,259.166,1.32665,1.92523,1.19861,0.95566,0.0953,0.42786,0.23948,1.31598,3.05779,1.27159,0.00050644,0.00050644,0.00050644
6,317.657,1.32817,1.79304,1.23666,0.62025,0.17619,0.4286,0.24459,1.3803,2.8746,1.27279,0.000596913,0.000596913,0.000596913
7,375.818,1.29306,1.61865,1.18401,0.73147,0.31101,0.62622,0.39189,1.27434,2.57198,1.20079,0.00068293,0.00068293,0.00068293
8,432.696,1.29786,1.55071,1.17474,0.50963,0.52343,0.62036,0.38013,1.2796,2.2423,1.22844,0.000764493,0.000764493,0.000764493
9,489.043,1.2827,1.54482,1.19342,0.609,0.58913,0.66645,0.39019,1.30417,2.18722,1.26123,0.0008416,0.0008416,0.0008416
10,542.447,1.214,1.40114,1.15284,0.77054,0.52229,0.63991,0.37718,1.38301,2.29069,1.31535,0.000914253,0.000914253,0.000914253
11,596.358,1.1947,1.3125,1.14031,0.70311,0.58925,0.64443,0.38585,1.38704,2.41492,1.27107,0.00098245,0.00098245,0.00098245
12,650.084,1.23765,1.37021,1.16642,0.70602,0.55947,0.61485,0.35339,1.44325,1.94493,1.32601,0.00097775,0.00097775,0.00097775
13,715.337,1.15467,1.24931,1.11455,0.66942,0.60296,0.69379,0.4117,1.39807,1.81947,1.28415,0.000953,0.000953,0.000953
